N,P,K,pH,TEMPERATURE,CLASS
90,42,43,6.502,20.879,6
85,58,41,7.038,21.770,6
60,55,44,7.840,23.004,6
74,35,40,6.980,24.130,6
78,42,42,7.628,20.130,6
69,37,42,9.967,22.769,6
69,55,44,9.165,23.758,6
94,53,46,6.478,21.774,6
89,54,44,7.362,20.608,6
68,58,44,8.515,19.604,6
103,18,30,5.628,18.317,1
75,10,26,6.980,17.729,1
85,16,28,6.370,18.956,1
76,10,28,6.694,17.846,1
78,20,32,5.762,17.318,1
81,17,29,6.602,18.367,1
80,26,34,6.425,17.800,1
91,13,28,6.549,18.295,1
84,21,31,6.463,18.480,1
89,18,30,6.362,17.956,1
83,45,60,6.502,15.327,2
48,46,50,6.038,16.770,2
84,48,54,6.980,15.130,2
44,35,48,6.628,16.769,2
78,42,52,7.840,15.004,2
69,37,50,6.967,16.130,2
69,55,58,9.165,15.758,2
74,53,56,6.478,16.774,2
89,54,52,7.362,15.608,2
68,58,54,8.515,14.604,2
17,85,19,6.238,15.674,3
19,87,16,6.362,16.014,3
20,84,17,6.779,15.855,3
18,82,18,6.720,16.362,3
19,90,15,6.549,15.704,3
21,88,17,6.425,16.480,3
16,85,18,6.694,15.846,3
18,89,16,6.602,16.067,3
22,86,19,5.762,15.318,3
20,91,15,6.628,16.295,3
67,58,50,6.425,26.774,4
58,64,48,6.779,25.956,4
69,62,52,6.720,27.130,4
61,59,49,6.549,26.769,4
72,55,51,6.238,27.004,4
65,57,48,6.362,25.758,4
70,60,50,6.694,26.608,4
63,56,52,6.602,27.774,4
66,61,49,5.762,25.604,4
71,63,51,6.628,26.295,4
80,58,50,5.019,19.300,5
85,64,48,5.668,20.956,5
89,62,52,5.720,21.130,5
81,59,49,5.549,19.769,5
92,55,51,5.238,20.004,5
75,57,48,5.362,19.758,5
90,60,50,5.694,20.608,5
83,56,52,5.602,21.774,5
86,61,49,4.762,19.604,5
91,63,51,5.628,20.295,5
20,67,80,6.759,26.488,7
16,67,85,7.362,27.012,7
21,71,80,7.015,26.985,7
18,70,84,6.980,27.300,7
22,65,82,7.840,26.200,7
19,69,78,6.967,27.488,7
23,72,85,7.165,26.012,7
17,68,81,6.478,27.985,7
20,70,83,7.362,26.300,7
24,66,79,6.515,27.200,7
120,78,9,7.038,35.770,8
115,81,7,6.502,36.879,8
110,80,8,7.628,35.130,8
125,82,6,6.980,37.004,8
118,79,10,9.967,36.769,8
122,77,8,9.165,37.758,8
114,76,9,6.478,35.774,8
119,83,7,7.362,36.608,8
116,80,8,8.515,35.604,8
121,78,6,6.502,37.879,8
95,55,45,6.5,22.5,6
88,60,40,7.0,21.0,6
82,58,42,7.2,23.0,6
91,52,44,6.8,20.5,6
79,57,41,7.5,22.0,6
86,59,43,6.9,21.5,6
93,54,46,7.1,22.8,6
77,56,40,6.7,21.2,6
84,61,42,7.3,20.8,6
90,53,44,6.6,22.3,6
98,15,29,6.2,18.0,1
76,12,27,6.5,17.5,1
82,18,31,6.8,18.2,1
88,14,26,6.4,17.8,1
79,16,30,6.6,18.5,1
85,19,28,6.7,17.3,1
92,11,25,6.3,18.1,1
77,20,32,6.9,17.9,1
83,17,29,6.5,18.4,1
86,13,27,6.2,17.7,1
75,42,58,6.8,15.5,2
82,48,52,6.5,16.2,2
79,45,55,7.0,15.8,2
86,50,49,6.7,16.0,2
73,43,57,6.9,15.3,2
88,47,53,6.6,16.5,2
76,49,51,7.2,15.7,2
81,44,56,6.4,16.1,2
77,46,54,6.8,15.6,2
84,51,50,7.1,16.3,2
19,88,18,6.5,16.0,3
22,85,20,6.8,15.5,3
18,90,16,6.3,16.2,3
21,87,19,6.7,15.8,3
17,92,15,6.4,16.1,3
20,89,17,6.6,15.9,3
23,84,21,6.9,15.7,3
16,91,14,6.2,16.3,3
19,86,18,6.5,15.6,3
24,88,20,7.0,16.0,3
65,60,51,6.5,26.0,4
72,56,49,6.8,25.5,4
68,62,53,6.3,26.5,4
75,58,47,6.7,25.8,4
61,64,52,6.9,26.2,4
69,57,50,6.4,25.7,4
73,61,48,6.6,26.3,4
67,59,54,7.0,25.9,4
70,63,46,6.2,26.1,4
64,55,51,6.8,25.6,4
88,60,52,5.2,20.0,5
94,56,48,5.5,19.5,5
82,62,50,5.8,20.5,5
90,58,54,5.1,19.8,5
85,64,46,5.4,20.2,5
93,57,51,5.7,19.3,5
87,59,49,5.3,20.7,5
91,61,53,5.6,19.6,5
79,63,47,5.0,20.4,5
96,55,52,5.9,19.1,5
25,69,82,7.2,27.0,7
18,73,86,6.8,26.5,7
22,66,78,7.5,27.5,7
19,71,84,6.9,26.8,7
26,68,80,7.1,27.2,7
21,74,88,7.3,26.3,7
17,70,76,6.7,27.8,7
23,67,85,7.4,26.1,7
20,72,81,7.0,27.4,7
24,75,83,6.6,26.7,7
112,85,8,7.5,36.0,8
128,79,6,6.8,35.5,8
105,88,10,7.2,37.0,8
135,76,5,7.8,36.5,8
108,82,9,6.5,35.8,8
125,81,7,7.1,36.8,8
118,77,8,7.6,35.2,8
130,84,6,6.9,37.2,8
102,86,11,7.3,35.5,8
127,78,7,7.4,36.3,8
